卫视    ■,#genre#
新华中文,http://%6c%69%76%65%63%64%6e%31%2e%6e%65%77%73%2e%63%6e/%63%6e%63%63%6e/%6d%61%6e%69%66%65%73%74%2e%6d%33%75%38
重庆卫视,%68%74%74%70%73://%6f%6e%73%69%74%65%63%64%6e%2e%63%62%67%63%6c%6f%75%64%2e%63%6f%6d/%37%36%62%74%71%6b/%64%36%74%62%34%76%2e%6d%33%75%38#http://%71%78%6c%6d%6c%69%76%65%2e%63%62%67%2e%63%6e:%31%39%33%35/%61%70%70%5f%32/%6c%73%5f%36%37%2e%73%74%72%65%61%6d/%63%68%75%6e%6b%6c%69%73%74%2e%6d%33%75%38#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
重庆新闻,http://%6f%6e%73%69%74%65%63%64%6e%2e%63%62%67%63%6c%6f%75%64%2e%63%6f%6d/%34%7a%6a%74%32%61/%7a%62%37%6e%69%70%2e%6d%33%75%38
四川卫视,http://%73%63%67%63%74%76%73%68%6f%77%2e%73%63%74%76%2e%63%6f%6d/%73%63%67%63/%73%63%74%76%31%64%65%75%35%34%35%33%77/%31%2e%6d%33%75%38#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=69&Provider_id=&Pcontent_id=index.m3u8
四川旅游,http://%73%63%67%63%74%76%73%68%6f%77%2e%73%63%74%76%2e%63%6f%6d/%68%64%6c%69%76%65/%73%63%74%76%32/%31%2e%6d%33%75%38
河北卫视,http://%6c%69%76%65%30%31%2e%68%65%62%74%76%2e%63%6f%6d/%63%68%61%6e%6e%65%6c%73/%68%65%62%74%76/%76%69%64%65%6f%5f%63%68%61%6e%6e%65%6c%5f%30%34/%6d%33%75%38:%32%30%30%30%6b/%6c%69%76%65
北京卫视,%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%62%6a%77%73/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://%68%77%6c%74%63%2e%74%76%2e%63%64%6e%2e%7a%6a%2e%63%68%69%6e%61%6d%6f%62%69%6c%65%2e%63%6f%6d/%50%4c%54%56/%38%38%38%38%38%38%38%38/%32%32%34/%33%32%32%31%32%32%38%35%30%30/%69%6e%64%65%78%2e%6d%33%75%38?%66%6d%74=%74%73%32%68%6c%73#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=046&Provider_id=&Pcontent_id=index.m3u8#http://stream.cdjsxy.cn/bjws/sd/live.m3u8
上海卫视,http://%68%77%2d%73%74%72%65%61%6d%2e%6b%6b%73%6d%67%2e%63%6f%6d/%6c%69%76%65/%64%74%76%66%37%36%63%31%31%65%38%2e%6d%33%75%38#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%64%66%77%73/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://221.6.85.150:9000/live/dfws_800/dfws_800.m3u8
上海综合,http://%68%77%2d%73%74%72%65%61%6d%2e%6b%6b%73%6d%67%2e%63%6f%6d/%6c%69%76%65/%73%74%76%35%65%64%34%34%36%32%66%2e%6d%33%75%38
广东卫视,%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%67%64%77%73/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://nclive.grtn.cn/gdws/sd/live.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
